client_id,supplier_id,supplier_is_active,supplier_name,geolocation_eq_phone,geolocation_eq_phoneCountryCode,geolocation_eq_address,geolocation_eq_city,geolocation_eq_postal,geolocation_eq_country,geolocation_eq_province,geolocation_eq_phoneExtension,geolocation_eq_latitude,geolocation_eq_longitude
OctogoneDemo,580f85fbc1ff682874435922,True,Boîte à pain (La),,,,,,,,,,
OctogoneDemo,580faf49c1ff682874435a15,False,BBQ Québec,,,,,,,,,,
OctogoneDemo,580fb734c1ff682874435a61,True,Café Honoré (Tatum),,,2530 boul. Louis-XIV,Québec,g1c1b5,,,,,
OctogoneDemo,580fb83ac1ff682874435a6c,False,Camélia Sinensis,,,,,,,,,,
OctogoneDemo,580fb928c1ff682874435a74,True,Corsaire Microbrasserie,,,,,,,,,,
OctogoneDemo,5810df171d524606103f1d20,True,Favuzzi International,,,,,,,,,,
OctogoneDemo,5810e4291d524606103f1d37,True,Fromagerie les Chèvres de l'Île,,,,,,,,,,
OctogoneDemo,5810e5de1d524606103f1d42,True,Gourmandise Allemande,,,,,,,,,,
OctogoneDemo,5810e6891d524606103f1d47,False,Bête (la),,,,,,,,,,
OctogoneDemo,5810e7531d524606103f1d51,True,Castor fumant,,,,,,,,,,
OctogoneDemo,5810e8121d524606103f1d56,True,Vergers de la colline,,,,,,,,,,
OctogoneDemo,5810e86e1d524606103f1d5b,True,Herbe à Lou,,,,,,,,,,
OctogoneDemo,5810ea8c1d524606103f1d72,True,Maison du gibier,,,,,,,,,,
OctogoneDemo,5810efa71d524606103f1d93,True,William J. Walter,,,,,,,,,,
OctogoneDemo,584820d4d6abc92380fb4a8d,True,LA Renaissance Poissonerie des Iles,,,,,,,,,,
OctogoneDemo,5876977324e5850e80cc7053,False,Produits transformés,,,,,,,,,,
OctogoneDemo,58875a89e0a1ba102439df59,True,érablière Pierre Pcard,,,,St-Philémon,,,,,,
OctogoneDemo,58875adce0a1ba102439df5b,True,Firebarn,,,,,,,,,,
OctogoneDemo,588764c1e0a1ba102439df61,False,Laiterie de Charlevox,,,,,,,,,,
OctogoneDemo,5887697de0a1ba102439df67,True,Chocolat Yvan Caron,,,,,,,,,,
OctogoneDemo,58877935e0a1ba102439df75,True,Ferme Genest,,,,,,,,,,
OctogoneDemo,58879d18e0a1ba102439e004,True,Épicerie mexicaine,,,,,,,,,,
OctogoneDemo,588fac1d3e381f0d3c106a24,False,Boulangerie La Fabrique,,,647 Avenue Godin,Québec,G1M3E6,,Québec,,,
OctogoneDemo,588fac633e381f0d3c106a26,True,Fines Herbes Daniel,,,,,,,,,,
OctogoneDemo,588facb63e381f0d3c106a28,True,Multi Marque,,,,,,,,,,
OctogoneDemo,588facec3e381f0d3c106a2a,False,Benrico,,,,,,,,,,
OctogoneDemo,588fad293e381f0d3c106a2c,True,Fromagerie du Marchée,,,,,,,,,,
OctogoneDemo,589206e8d632b70e44c4c316,True,Laiterie Charlevoix,,,1167 BOUL. MGR DE LAVAL,Baie-Saint-Paul,G3Z 2W7,,,,,
OctogoneDemo,58cfeae471f98c7021b378dc,False,Norref,,,,,,,,,,
OctogoneDemo,58f922dde288cc1d4014084a,False,"Agropur, Division Natrel",,,,,,,,,,
OctogoneDemo,58f93f27153580221c585ff1,False,Nador,,,625 rue du Marais,Ville de Québec,G1M2Y2,,,,,
OctogoneDemo,58f971a871d87b0cdc253085,False,Alsco,,,1150 Rue des Ardennes,Ville de Québec,G1N4J3,,,,,
OctogoneDemo,58f97dfe71d87b0cdc2530bc,True,Maison Gourmet,,,394 Rue Morse,Ville de Québec,G1N4L4,,,,,
OctogoneDemo,58fa5693e5632f0e2cf46d96,True,DOMAINE DES GOURMETS,,,5410 RUE DE BORDEAUX,MONTREAL,H2H2A8,,,,,
OctogoneDemo,58fa5707e5632f0e2cf46d98,False,FARINEX,,,3780 RUE DE LA VÉRENDRYE,BOISBRIAND,J7H1R5,,,,,
OctogoneDemo,58vO7fecAn0ZsaijkHGU,True,JFC,514-336-2290,CA,10045 Henri Bourassa Blvd W,saint-laurent,H4S 1A1,canada,qc,,,
OctogoneDemo,5900e3a8f913afd00807d058,False,Les emballages L. Boucher,,,2905 Av. Watt,Québec,G1X3W1,,,,,
OctogoneDemo,5909e4cfca07ef11f42d7415,False,COSMOS PRODUITS MAISON,,,18 RUE ALBERT DEBLOIS,SAINT-ANSELME,G0R2N0,,,,,
OctogoneDemo,590b6c90cd5b9b20800f2421,True,Bügel fabrique de bagel,,,164 crémazie ouest,qc,G1R1X7,,,,,
OctogoneDemo,596919b96f138029c8bb6de1,False,Gordon Food Service Canada,,,8000 rue Armand Viau #100,Québec,G2C2E2,,,,,
OctogoneDemo,597a15cee1db48d408c9d590,True,Alex Coulombe,,,2300 rue Cyrille-Duquet,Québec,G1N2G5,,,,,
OctogoneDemo,59a85e8b5de2c218247ae670,True,LES DISTRIBUTIONS ALIMENTAIRE ROY,,,10 RUE BLOUIN,SAINT-ANSELME,G0R2N0,,,,,
OctogoneDemo,5FqfvuCyocAzpICB7zoq,False,Boulangerie La fabrique,418-660-7337,CA,647 AV. GODIN ,QUÉBEC,G1M 3E6,,QUÉBEC,,,
OctogoneDemo,5YMdUhYCdf3RCXjS29FN,True,Apikol,418-522-7000,CA,627 Boulevard Charest E,Québec,G1K 3J5,Canada,Quebec,,,
OctogoneDemo,5a00614007519927189d71d0,True,Monsieur T.,,,710 rue Bouvier,Québec,G2J1C2,,,,,
OctogoneDemo,5a20d5f3849d512218308fcf,False,Nador INC.,,,,,,,,,,
OctogoneDemo,5a29b254f1775f2bd4ce6136,False,SAPUTO PRODUITS LAITIERS CANADA SENC,800-463-4487,CA,2365 CH.DE LA COTE-DE-LIESSE,St-Laurent,H4N 2M7,Canada,Québec,,,
OctogoneDemo,5a54ef8205ef2a0f4470a457,True,Les Viandes Highland inc.,,,4384 Rg Juliaville,St-Édouard-de-Lotbinière,G0S1Y0,,,,,
OctogoneDemo,5a5519a46377262214e9e9ce,True,Les Cafés Honoré inc.,,,2530 boul. louis-xIv,quebec,g1g 1b5,,,,,
OctogoneDemo,5ab51fcd2c5d2f1ed41fd96a,True,Épices de cru,,,"2222, Letourneux",Montréal,H1V2N6,,,,,
OctogoneDemo,5ac3960faced4e115804bf90,False,Brasseurs GMT,,,,,,,,,,
OctogoneDemo,5ae89ecd0f349017508b6256,True,Ecolab,,,,,,,,,,
OctogoneDemo,5af1c366b4632f2930e32bb5,True,Boulangerie La Fabrique,,,647 Avenue Godin,Québec,G1M3E6,,,,,
OctogoneDemo,5b0bf9651fe0700538e0dccc,False,Benrico,,,2022 Lavoisier suite 198,quebec,g1n 4l5,,,,,
OctogoneDemo,5c952bab670a7818b00c2be3,True,DIVERS,,,,,,,,,,
OctogoneDemo,5cbb9fc0f655621e08151013,False,Aux Terroirs-,,,,,,,,,,
OctogoneDemo,5cdd326a21cf402acc7ad9e0,False,Boucherie Rhéaume,,,511 rue Le Pire,Ville de Québec,G3G1S8,,,,,
OctogoneDemo,5d542e7fe489d62c3498eb07,True,Les Pâtes Alpha,,,230-B rue Témiscouata,Rivière du loup,G5R2Y5,,,,,
OctogoneDemo,5d9f6c051c420aeed8843be0,True,Hector Larivée,,,1755 rue Bercy,Montréal,H2K2T9,,,,,
OctogoneDemo,5deaacec88ea491cb8f16157,False,Viandex,,,195 rue joly,Québec,G1L1N7,,,,,
OctogoneDemo,5e56e573abc98104296901c3,True,Distribution Frigon,,,Inconue,Inconue,000000,,,,,
OctogoneDemo,5eYZ9eXMIVNWxQg2GGVJ,True,Domaine tranqu'île,819-209-9426,CA,,,,,,,,
OctogoneDemo,5fbe75377f515966f86cd2f0,True,SANI-PLUS,,,1600 Rue du Pincelier,Ancienne-Lorette,G2E6B7,,,,,
OctogoneDemo,5uFb3lc83e4k4oArPAPo,True,Érablière Godbout,418-692-2517,CA,"39, avenue Beaudry ",St-Raphaël,G0R 4C0,,Québec,,,
OctogoneDemo,5yNa0Nf1iXORqtZPOCqi,True,Microbrasserie Beaux-Prés,418-702-1128,CA,9430 Boul Sainte-Anne,Sainte-Anne de Beaupré,G0A 3C0,Canada,Québec,,,
OctogoneDemo,60366566dcb200acf87cff26,True,La corporation Tantrum inc.,,,1700 autoroute Laval O.,Laval,h7s2e7,,,,,
OctogoneDemo,604b7b6a1c2adf97c05d3cbb,False,Molson Coors,,,5105 rue John Molson,Quebec,G1X3X4,,,,,
OctogoneDemo,6064d01c34d7ddb980084af0,False,COSTCO,,, ,,,,,,,
OctogoneDemo,6067350f5603f8a85c67d896,False,Nespresso,,,,,,,,,,
OctogoneDemo,61095185ef57316d845200c2,False,Emballages Carrousel,,,905 rue Paradis,Ville de Québec,G1N4E3,,,,,
OctogoneDemo,6115651e737f01111c6168e5,True,Les importations Oléa inc,,,C.P. 20014 Succ. Belvédère,Québec,,,,,,
OctogoneDemo,618d94959b3c79f346cd6a98,True,Montrose Foods Inc.,,,,,,,,,,
OctogoneDemo,61ef15f14d4d5081f0b222b1,False,Alambika,,,,,,,,,,
OctogoneDemo,61f82f1862d8435bd02b5c66,True,Transbroue,,,950-2350 rue Dickson,Longueuil,H1N3T1,,,,,
OctogoneDemo,62692d01ce67033218ceddd6,True,tootsi inpex,,,8800 Henri-Bourassa O,Montréal,H4S1P4,,,,,
OctogoneDemo,626ed560b43df07c1c45d39d,True,LE BONNE ENTENTE,,,3400 chemin saint foy,quebec,G1X1S6,,,,,
OctogoneDemo,63752b3538e830405c000001,False,Charcuterie Charlevoisienne,,,131 rue Saint-Édouard rue Saint-Édouard,Saint-Urbain,,,,,,
OctogoneDemo,63d80d435142471baf000006,True,Lagabière Brasserie artisanale,,,537 Saint-jean-sur-Richelieu,Québec,J2X5T5,,,,,
OctogoneDemo,63e55a1b13a5cb761e000018,False,Fourniture de Bureau Denis,,,1415 Rue Frank-Carrel,Québec,G1N4N7,,,,,
OctogoneDemo,63f77b85f39c1b6f76000006,True,noosphère,,,1238 route de la Seigneurie (rte 132),Saint-Roch-des-Aulnaies,G0R4E0,,,,,
OctogoneDemo,63fe3e69f39c1b620a000002,True,Délifruits,,,1465 chauveau,qubec,g2k1a3,,,,,
OctogoneDemo,641b3d0b30a66a46f7000001,True,Tatum Café et Brûlerie,,,2530 Boul. Louis-XIV,Québec,G1C1B5,,,,,
OctogoneDemo,658d77cc30a66a13a1000001,True,Ranch Hansel,,,1818 rue Principale,Saint-Marc-des-Carrières,G0A4B0,,,,,
OctogoneDemo,6DNmtjoC6yCdiltudNX8,True,Nador - Le Chien d'Or,800-463-5652,CA,625 rue du Marais,Québec,G1M 2Y2,,Québec,,,
OctogoneDemo,6gQlNM3VaA1QxXPxShSu,False,MOLSON,888-743-8888,CA,"111, Boul. Robert Bourassa, suite 9000",Québec,H3C 2M1,Canada,Québec,,,
OctogoneDemo,70FVCLL89kV8t4ciEnXY,False,Plaisirs Gourmets,418-876-3814,CA,150 rue de Singapour,Saint-Augustin-de-Desmaures,G3A 0P5,Canada,QC,,,
OctogoneDemo,7NWPkMXRdRAGoXvgG2gN,True,Eugènes Allard Produits d'emballage et d'entretien,(418)-657-3974,,2797 Watt,Sainte-Foy,,Canada,Québec,,,
OctogoneDemo,7RaqVSYub4nWIX1r7OKZ,False,Hector Larivée,877-561-0750,CA,,,,,,,,
OctogoneDemo,7gO5UEBPI9IQ3ta0gCZV,True,Highland,418-563-5839,CA,4384 Rang Juliaville,St Edouard-de-Lotbinière,G0S 1Y0,Canada,QC,,,
OctogoneDemo,7voxWzYyncyjs5jEqzmK,False,Canabec,418-843-0782,CA,115 des Grands Lacs ,Saint Augustin de Desmaures ,G3A 2T9,,Québec ,,,
OctogoneDemo,8AxqfwxcIlHEm9TZriIl,False,Norref,514-593-9999,CA,,,,,,,,
OctogoneDemo,8ceVs0Z6ZHNdPiN9VEzU,True,NINO,514-277-8902,CA,192 Place Du Marche-Du-Nord,,,,,,,
OctogoneDemo,8rONy22R4WczMlvxWPXw,True,BPH,514-331-0772,CA,1071 rue Bégin,Ville Saint-Laurent,H4R 1V8,Canada,Québec,,,
OctogoneDemo,8s00B7rO6mKu5zS4imEv,True,Ferro,514-360-0395,CA,2255 Rue Halpern,Saint-Laurent,H4S 1S3,Canada,QC,,,
OctogoneDemo,9J34B0Jz1v0gsn3d9qE1,False,Doyons Després,,,525 rue Marais,Québec,,Canada,Québec,,,
OctogoneDemo,9RQY65jMv8Q7uiXqLl3U,True,Symbiose vins et cies inc.,(514)-212-6336,," 353, Rue Villeray",Montréal,H2R 1H1,CA,Québec,,,
OctogoneDemo,9bwno5kDTUoM2M8QlSlu,False,PAUL DUBUC,819-538-7111,CA,"713, 206 AVENUE",SHAWINIGAN,G9T 3K5,CANADA,QUEBEC,,,
OctogoneDemo,9jR0WPwSlv6kmDKo52aM,False,ertert,823-456-7897,CA,243567,43567,ewrty67uyi,retyuik,wqerty,45676,,
OctogoneDemo,9nc80ri9ju76LMF2v1JA,False,Borderon & Fils,418-877-1818,CA,925 Avenue Newton - Local 117,Québec,G1P 4M2,Canada,QC,,,
OctogoneDemo,9omjW3Lrnj08IbcJAGPu,True,"Fays, Terroir Chocolaté inc.",514-886-8617,CA,47 rue Notre-Dame,Oka,J0N 1E0,Canada,Québec,,,
OctogoneDemo,AW9VVK5yO26wpm8QolxH,True,QSP (Association des restaurateurs QSP),(418)-682-3372,,"220 - 1990, rue Cyrille-Duquet",Québec,G1N 4K9,Canada,Québec,3.0,,
OctogoneDemo,AbQxeD3OWwA2d9wub5NW,True,Coca-Cola,,,990 Ave Godin,Québec,,Canada,Québec,,,
OctogoneDemo,AleVLBXbRAyDS4Qe2WaW,True,Mayrand Alimplus,800-461-8747,CA,9777 rue Colbert,Anjou,H1J 1Z9,Canada,Québec,,,
OctogoneDemo,BAckriz03ZElRH6FDvw6,True,FLB Solutions Alimentaires,(418)-661-6938,,"275, ave du Semoir",Québec,G1C 7V5,Canada,Québec,,,
OctogoneDemo,C0f4Ke0BK3aIhNsqBRrh,True,Canard Goulu,418-881-2729,CA,"524, rang Bois-Joly ouest",Saint-Apolinaire,G0S 2E0,Canada,Québec,,,
OctogoneDemo,CAFsCHe6GZXjMGxBQAcd,True,emballage L. boucher,(418)-563-8449,,2905 avenue watt,quebec,G1X 3W1,canada,QB,,,
OctogoneDemo,CNHSqxatmCojiIuf37EC,False,Labatt,418-687-5050,CA,75 Rue Lachance,Québec,G1P 2H3,Canada,Québec,,,
OctogoneDemo,CZs4CISnA5HProO80l93,False,LBoucher,(180)-046-3265,,"2905 Avenue Watt,"," Québec, ",G1X 3W1,,"QC, ",,,
OctogoneDemo,Csbs7R6MB9zgmH3pGLVg,True,Tout prêt,418-527-5557,CA,10-2525 avenue Watt, Québec ,G1P 3T2,,Québec ,,,
OctogoneDemo,CwUHjcsrJY94FgBfX9Yc,True,PayFacto,877-341-8293,CA,"1, Place du Commerce, Suite 402",Verdun,H3E 1A2,Canada,Québec,,,
OctogoneDemo,DJm93l2Uz83k9zA97Uyc,False,GFS (Service Alimentaire Gordon),(418)-840-5600,,"100- 8000, rue Armand-Viau",Québec,G2C 2E2,Canada,Québec,,,
OctogoneDemo,DXm0fms7yCphPaJhAkwK,False,GFS,(418)-840-5600,,"100-8000 Armand-Viau Rue, ",Quebec ,G2C 2E2,,QC ,,,
OctogoneDemo,DYp3VFKwxK6VZqEFHP7a,True,True World Foods,418-204-0647,CA,"5130 rue Rideau, local 190",Québec,G2E 5S4,Canada,Québec,,,
OctogoneDemo,Dl3dwc6vvK35VRqSTfP5,True,NeoPos,418-522-5689,CA,1244 1re Av,Québec,QC G1L 3K9,Canada,Québec,,,
OctogoneDemo,DtKrAdbb6xusjgk876Ld,False,FLB Fruits et légumes Beauport,418-661-6938,CA,275 av. du semoir,Québec,G1C 7V5,Canada,QC,,,
OctogoneDemo,FWY2PvTPfCzA1X23wlgh,False,Saputo,418-651-8918,CA,2700 Av Dalton,Québec ,G1P 3S4 ,,Québec ,,,
OctogoneDemo,FXWJ42CqbCxtKn9BJs9B,True,Cucina fine foods,438-817-4617,CA,289 rue Corot,"Verdun,",H3E 1K8,canada,qc,,,
OctogoneDemo,Fijsrxul8hcNm3TJQNLs,True,La Maison du Roti,,,39 de Montebello,Blainville,,Canada,Québec,,,
OctogoneDemo,G8wnpAgwYS4TsYyFSIOM,True,Atelier Le Repère,,,"162, rue des Géodes",Boischatel,G0A 1H0,Canada,Québec,,,
OctogoneDemo,GY33F0jivwdbnF8XOGrB,True,Alsco,418-681-6185,CA,1150 rue des Ardenes,Québec,G1N 4J3,Canada,Québec,,,
OctogoneDemo,HQ184680686464,True,Laboratoires Choisy (Kersia),,,"2600 Jean Perrin #150, Québec, Canada, G2C 2C6",,,,,,,
OctogoneDemo,HQ475267705024,True,Paul Dubuc,,,"713, 206 avenue shawinigan G9T 3K5",,,,,,,
OctogoneDemo,HQ510760776707,True,Domaine des Salamandres,,,"196 Covey Hill, Hemmigford,Qc, J0L 1H0",,,,,,,
OctogoneDemo,HQ599189166769,True,épicerie,,,,,,,,,,
OctogoneDemo,HQ626001166462,True,Malimousse,,,,,,,,,,
OctogoneDemo,HQ642222900616,True,Unifirst,,,,,,,,,,
OctogoneDemo,HQ663006600067,True,Trou du diable,,,,,,,,,,
OctogoneDemo,HQ844116717467,True,Sushi Taxi,,,,,,,,,,
OctogoneDemo,IHrb8FqgSSBh7zGheCKX,False,SAQ,514-254-8686,CA,7500 rue Tellier,Montréal,H1N 3W5,Canada,Québec,,,
OctogoneDemo,IPXriQhe4SQqqam993UD,False,Viandex,418-681-2482,CA,195 Rue Joly ,Québec ,G1L 1N7,,QC ,,,
OctogoneDemo,IQdAf9RSbHTRTWhkW5Fk,True,Damen alimentaire,(514)-903-8788,,"670, rue Deslauriers, Saint-Laurent",Montréal,H4N 1W5,Canada,Québec,,,
OctogoneDemo,IbVze1AFWDiJdZV4jzVP,False,Manon Virgule,,,,Montréal,,Canada,Québec,,,
OctogoneDemo,J2bdimUqGSW3mZE70PiK,False,Boulangerie la fabrique,418-660-7337,CA,647 Av. Godin,Québec,G1M 3E6,Canada,Québec,,,
OctogoneDemo,J6ELBYrrxoMtKfe6xvTY,False,Molson Coors,,,5105 rue Molson,Québec,,Canada,Québec,,,
OctogoneDemo,JHHnupoFadj33MLU6ZeY,True,Floramiel,418-930-4872,CA,2643 Rue Vigneault,Québec,QC G1W 1X4,Canada,Québec,,,
OctogoneDemo,JW08oislsIfsVmJLdZnz,False,Alambika,514-400-9212,CA,6674 De l'Esplanade (suite 300),Montréal,H2V 4L5,Canada,Québec,102,,
OctogoneDemo,JazOIy7Q4jnf0sX7bglH,True,Alambika,514-800-5397,CA,"6674 Ave de L'Esplanade, Suite 300,",Montréal,H2V 4L5,Canada,Québec,,,
OctogoneDemo,JifbhF17Wep3K7mRgwpP,False,mr gaudet,45 896 3258,ZA,17 rue de lac,le lac,g1r4c1,quebec,qc,,,
OctogoneDemo,JuWaCThKrqrx7OI0Zp4S,False,Service d'escorte male,(123)-314-2134,,123 rue de la rue,Quebec,J0E 2A0,Canada,Quebec,324,,
OctogoneDemo,KJNey0jnzIOP8webvC08,True,Kersia,418-842-5721,CA,2700 - 117 Rue Jean Perrin ,Québec ,G2C 2C6,,Québec ,,,
OctogoneDemo,KfNnhuY65GPdpWuPb7Nx,True,Négondos,450-258-2099,CA,"7100, rang St-Vincent",Mirabel,G7N 3N1,Canada,Québec,,,
OctogoneDemo,KgvnKGRuZcKjzlQZ9CgP,True,Farinex,450-437-7077,CA,"3780 Rue La Vérendrye, ",Boisbriand ,J7H 1R5,,Quebec ,,,
OctogoneDemo,KhwfZff2SiJKztvEwMEX,False,Viandex,418-681-2482,CA,,,,,,,,
OctogoneDemo,LMeEZDVwG3KomsCLEjRm,True,La Villa,418-932-3810,CA,,,,,,,,
OctogoneDemo,LtvYDx8LFhgnYiHehDWn,False,Alsa Distribution,450-465-8060,CA,,, J4V 2M8,Canada,QC,,,
OctogoneDemo,M1CNDCfyAI7fdEaL4L2w,True,Pasta Shop,418-929-6576,CA,,,,,,,,
OctogoneDemo,M40SbGDmTQtyDGxbH9Ho,False,GFS - Gordon Food Service,418-840-5600,CA,8000 Rue Armand-Viau N,Québec QC G2C 2A2 ,G2C 2A2 ,Canada,Québec,,,
OctogoneDemo,MO3Md4NECTz3yCbWA6Ra,True,BVL,450-965-9620,CA,661 de la Sablière,Bois-des-Filion,J6Z 4T2,Canada,Québec,,,
OctogoneDemo,MlJOMO4117xFIwXFYwnW,True,ITACA-DIRECT,514-882-8070,CA,1355 Mazurette,montreal,H4N 1G8,canada,quebec,,,
OctogoneDemo,MujjZ3RvFPihDfeyweoB,True,Can-Am Fruits et Légumes,514-488-1148,CA,550 Wright,"St-Laurent, Québec",H4N 1M6,Canada,Québec,,,
OctogoneDemo,MvyA7R7pVqnXTf6W5b6X,True,Boucher Lortie,418-623-2323,CA,623 Rue des Rocailles,Québec ,G2J 1A9,Canada,Québec ,,,
